iter	Passed	Remaining
461	770	897
462	771	895
463	772	892
464	773	890
465	774	887
466	775	885
467	776	882
468	780	883
469	781	880
470	782	878
471	783	876
472	784	874
473	786	873
474	788	871
475	789	869
476	791	868
477	796	870
478	798	868
479	799	865
480	801	864
481	802	862
482	803	860
483	804	857
484	805	855
485	806	852
486	807	850
487	810	850
488	811	848
489	812	845
490	813	843
491	814	840
492	815	838
493	816	836
494	817	833
495	818	831
496	818	828
497	819	826
498	820	824
499	821	821
500	825	822
501	826	820
502	827	817
503	828	815
504	829	813
505	830	810
506	831	808
507	832	806
508	833	803
509	834	801
510	835	799
511	835	796
512	837	794
513	840	795
514	842	793
515	843	790
516	844	788
517	845	786
518	846	784
519	847	782
520	848	779
521	849	777
522	849	775
523	850	772
524	851	770
525	855	770
526	856	768
527	857	766
528	858	764
529	859	762
530	860	759
531	861	757
532	862	755
533	863	753
534	864	750
535	864	748
536	865	746
537	866	744
538	870	744
539	871	742
540	872	740
541	874	738
542	875	737
543	876	735
544	877	732
545	878	730
546	879	728
547	880	726
548	881	724
549	884	723
550	885	721
551	887	720
552	888	717
553	889	715
554	890	713
555	891	711
556	891	709
557	892	707
558	893	705
559	894	702
560	895	700
561	896	698
562	899	698
563	901	696
564	902	694
565	903	692
566	904	690
567	905	689
568	906	687
569	907	684
570	908	682
571	909	680
572	910	678
573	911	676
574	915	676
575	916	674
576	917	672
577	918	670
578	918	668
579	919	666
580	920	664
581	921	661
582	922	659
583	923	657
584	924	655
585	925	653
586	926	651
587	931	652
588	933	651
589	934	649
590	935	647
591	938	646
592	939	644
593	941	643
594	942	641
595	944	640
596	945	638
597	946	636
598	947	634
599	948	632
600	949	630
601	950	628
602	951	626
603	952	624
604	954	623
605	955	621
606	959	621
607	961	620
608	965	619
609	967	618
610	968	616
611	969	614
612	971	613
613	974	612
614	975	610
615	977	609
616	978	607
617	979	605
618	980	603
619	981	601
620	982	599
621	983	597
622	985	596
623	988	595
624	989	593
625	991	592
626	993	591
627	994	589
628	996	587
629	997	585
630	998	583
631	1000	582
632	1005	583
633	1007	581
634	1008	579
635	1012	579
636	1014	577
637	1015	576
638	1018	575
639	1019	573
640	1021	572
641	1023	570
642	1025	569
643	1027	567
644	1034	569
645	1035	567
646	1041	568
647	1043	566
648	1044	565
649	1048	564
650	1050	563
651	1052	561
652	1054	560
653	1055	558
654	1057	556
655	1059	555
656	1062	554
657	1064	553
658	1066	551
659	1068	550
660	1069	548
661	1070	546
662	1072	545
663	1074	543
664	1077	543
665	1081	542
666	1083	540
667	1085	539
668	1086	537
669	1090	537
670	1096	537
671	1098	536
672	1099	534
673	1102	533
674	1104	531
675	1105	530
676	1110	529
677	1112	528
678	1114	526
679	1116	525
680	1118	524
681	1120	522
682	1125	522
683	1127	520
684	1129	519
685	1130	517
686	1133	516
687	1134	514
688	1136	512
689	1137	510
690	1141	510
691	1142	508
692	1144	507
693	1145	505
694	1146	503
695	1148	501
696	1149	499
697	1150	497
698	1151	495
699	1154	494
700	1156	493
701	1157	491
702	1159	489
703	1160	488
704	1161	486
705	1163	484
706	1164	482
707	1165	480
708	1166	478
709	1168	477
710	1171	476
711	1172	474
712	1174	472
713	1175	470
714	1176	469
715	1177	467
716	1179	465
717	1180	463
718	1181	461
719	1184	460
720	1186	459
721	1188	457
722	1189	455
723	1191	454
724	1192	452
725	1194	450
726	1195	448
727	1196	446
728	1197	444
729	1200	443
730	1201	442
731	1202	440
732	1204	438
733	1205	436
734	1206	434
735	1207	432
736	1208	431
737	1208	429
738	1209	427
739	1210	425
740	1211	423
741	1214	422
742	1216	420
743	1217	418
744	1218	416
745	1219	415
746	1220	413
747	1221	411
748	1222	409
749	1223	407
750	1224	405
751	1225	404
752	1226	402
753	1227	400
754	1229	398
755	1231	397
756	1232	395
757	1233	393
758	1234	391
759	1235	390
760	1236	388
761	1237	386
762	1238	384
763	1239	382
764	1239	380
765	1240	379
766	1243	377
767	1244	376
768	1245	374
769	1246	372
770	1247	370
771	1248	368
772	1249	366
773	1250	365
774	1251	363
775	1252	361
776	1253	359
777	1254	357
778	1255	356
779	1257	354
780	1259	353
781	1260	351
782	1261	349
783	1263	348
784	1264	346
785	1265	344
786	1266	342
787	1267	341
788	1268	339
789	1269	337
790	1270	335
791	1273	334
792	1274	332
793	1276	331
794	1277	329
795	1278	327
796	1279	325
797	1281	324
798	1282	322
799	1283	320
800	1284	319
801	1285	317
802	1287	315
803	1289	314
804	1290	312
805	1291	310
806	1292	309
807	1293	307
808	1294	305
809	1296	304
810	1297	302
811	1297	300
812	1298	298
813	1299	297
814	1303	295
815	1305	294
816	1306	292
817	1308	291
818	1309	289
819	1310	287
820	1311	286
821	1312	284
822	1314	282
823	1320	281
824	1323	280
825	1326	279
826	1328	277
827	1329	276
828	1332	274
829	1334	273
830	1335	271
831	1336	269
832	1338	268
833	1339	266
834	1340	264
835	1341	263
836	1342	261
837	1343	259
838	1344	258
839	1345	256
840	1348	254
841	1350	253
842	1351	251
843	1353	250
844	1354	248
845	1355	246
846	1356	245
847	1357	243
848	1358	241
849	1359	239
850	1361	238
851	1363	236
852	1365	235
853	1366	233
854	1367	231
855	1368	230
856	1370	228
857	1371	226
858	1372	225
859	1373	223
860	1374	221
861	1377	220
862	1379	218
863	1380	217
864	1381	215
865	1382	213
866	1384	212
867	1385	210
868	1386	208
869	1387	207
870	1388	205
871	1388	203
872	1390	202
873	1392	200
874	1394	199
875	1395	197
876	1396	195
877	1397	194
878	1398	192
879	1399	190
880	1400	189
881	1401	187
882	1402	185
883	1403	184
884	1404	182
885	1406	180
886	1408	179
887	1409	177
888	1410	176
889	1411	174
890	1412	172
891	1413	171
892	1414	169
893	1415	167
894	1416	166
895	1417	164
896	1419	163
897	1421	161
898	1423	159
899	1424	158
900	1425	156
901	1426	155
902	1427	153
903	1428	151
904	1429	150
905	1430	148
906	1431	146
907	1432	145
908	1434	143
909	1437	142
910	1438	140
911	1439	138
912	1440	137
913	1441	135
914	1442	134
915	1444	132
916	1445	130
917	1445	129
918	1446	127
919	1447	125
920	1450	124
921	1451	122
922	1453	121
923	1454	119
924	1455	117
925	1456	116
926	1458	114
927	1459	113
928	1460	111
929	1461	109
930	1462	108
931	1464	106
932	1465	105
933	1467	103
934	1468	102
935	1469	100
936	1470	98
937	1471	97
938	1472	95
939	1473	94
940	1474	92
941	1475	90
942	1476	89
943	1477	87
944	1480	86
945	1481	84
946	1482	82
947	1483	81
948	1484	79
949	1485	78
950	1486	76
951	1487	75
952	1488	73
953	1489	71
954	1490	70
955	1491	68
956	1493	67
957	1495	65
958	1496	63
959	1497	62
960	1498	60
961	1499	59
962	1500	57
963	1502	56
964	1502	54
965	1503	52
966	1504	51
967	1505	49
968	1506	48
969	1508	46
970	1510	45
971	1511	43
972	1512	41
973	1513	40
974	1514	38
975	1515	37
976	1516	35
977	1517	34
978	1518	32
979	1519	31
980	1520	29
981	1523	27
982	1525	26
983	1526	24
984	1527	23
985	1528	21
986	1529	20
987	1530	18
988	1531	17
989	1532	15
990	1533	13
991	1534	12
992	1535	10
993	1538	9
994	1540	7
995	1541	6
996	1542	4
997	1544	3
998	1544	1
999	1545	0
